,home_overall_rating,away_overall_rating,home_team_wins,home_team_draws,home_team_defeats,home_team_goals_diff,away_team_wins,away_team_draws,away_team_defeats,away_team_goals_diff,home_team_wins_against_eachother,home_team_goals_diff_agains_eachother,draws_against_eachother,away_team_wins_against_eachother,away_team_goals_diff_agains_eachother,bet_statistics_home,bet_statistics_draw,bet_statistics_away,Home_Win,Draw,Away_Win
0,0.0,0.0,1,2,2,-2,2,3,0,3,0,0,0,0,0,19.65,28.7,26.65,1,0,0
0,0.0,0.0,2,0,3,-2,0,2,3,-6,0,0,0,0,0,20.529999999999998,28.799999999999997,25.12,0,1,0
0,0.0,0.0,3,1,1,3,0,4,1,-1,0,0,0,0,0,14.229999999999999,31.2,47.35,1,0,0
0,0.0,0.0,3,1,1,5,2,1,2,1,0,0,0,0,0,10.79,50.1,99.5,1,0,0
0,0.0,0.0,2,2,1,3,1,1,3,-4,0,0,0,0,0,11.770000000000003,40.03,75.5,0,0,1
0,0.0,0.0,0,3,2,-2,1,3,1,-1,0,0,0,0,0,18.900000000000002,28.8,28.150000000000006,1,0,0
0,0.0,0.0,2,1,2,-1,0,3,2,-2,0,0,0,0,0,14.879999999999999,30.9,42.4,0,0,1
0,0.0,0.0,3,0,2,0,2,1,2,4,0,0,0,0,0,20.830000000000002,28.75,25.23,1,0,0
0,0.0,0.0,2,2,1,1,3,2,0,7,0,0,0,0,0,25.150000000000002,28.599999999999998,20.63,1,0,0
0,0.0,0.0,1,2,2,-4,3,1,1,1,0,0,0,0,0,27.430000000000003,29.15,19.1,1,0,0
0,0.0,0.0,0,3,2,-4,3,1,1,3,0,0,0,0,0,28.700000000000003,28.849999999999998,18.65,1,0,0
0,0.0,0.0,0,1,4,-9,2,1,2,0,0,0,0,0,0,20.28,28.95,25.45,1,0,0
0,0.0,0.0,2,2,1,2,2,2,1,3,0,0,0,0,0,20.82,28.65,25.02,0,0,1
0,0.0,0.0,2,1,2,-1,1,1,3,-3,0,0,0,0,0,13.94,32.35,49.7,1,0,0
0,0.0,0.0,2,1,2,-1,2,1,2,-2,0,0,0,0,0,18.55,29.05,28.950000000000003,1,0,0
0,0.0,0.0,1,1,3,0,1,2,2,-2,0,0,0,0,0,13.32,33.05,56.55,0,1,0
0,0.0,0.0,1,2,2,-4,3,1,1,3,0,0,0,0,0,25.099999999999998,28.85,20.6,0,1,0
0,0.0,0.0,1,3,1,0,1,1,3,-4,0,0,0,0,0,21.23,28.750000000000004,24.670000000000005,1,0,0
0,0.0,0.0,1,2,2,-4,3,1,1,7,0,0,0,0,0,60.65,35.599999999999994,12.74,0,0,1
0,0.0,0.0,2,1,2,-1,1,2,2,1,0,0,0,0,0,22.369999999999997,28.849999999999998,23.050000000000004,1,0,0
0,0.0,0.0,3,0,2,0,3,0,2,1,0,0,0,0,0,17.66,29.200000000000003,31.15,0,0,1
0,0.0,0.0,4,1,0,11,3,1,1,1,0,0,0,0,0,14.18,32.150000000000006,47.099999999999994,1,0,0
0,0.0,0.0,2,2,1,4,1,1,3,0,0,0,0,0,0,13.63,32.800000000000004,53.25,1,0,0
0,0.0,0.0,1,1,3,0,3,1,1,3,0,0,0,0,0,20.8,28.9,25.03,0,1,0
0,0.0,0.0,1,0,4,-4,1,2,2,-4,0,0,0,0,0,14.9,30.75,42.68,1,0,0
0,0.0,0.0,3,0,2,0,1,2,2,-6,0,0,0,0,0,12.829999999999998,34.879999999999995,62.4,1,0,0
0,0.0,0.0,2,2,1,2,2,2,1,1,0,0,0,0,0,15.49,29.9,40.730000000000004,0,1,0
0,0.0,0.0,2,0,3,-3,2,1,2,-1,0,0,0,0,0,25.8,28.9,20.3,1,0,0
0,0.0,0.0,2,2,1,2,2,0,3,-2,0,0,0,0,0,21.349999999999998,28.75,24.47,0,1,0
0,0.0,0.0,1,1,3,-3,2,1,2,-1,0,0,0,0,0,14.6,31.349999999999994,44.51,1,0,0
0,0.0,0.0,2,0,3,-1,3,0,2,-1,0,0,1,0,0,22.75,28.900000000000002,22.52,1,0,0
0,0.0,0.0,2,2,1,2,3,1,1,3,0,0,1,0,0,17.9,28.9,31.15,1,0,0
0,0.0,0.0,5,0,0,13,4,0,1,4,1,3,0,0,-3,12.020000000000001,38.85,72.75,0,0,1
0,0.0,0.0,1,1,3,0,1,1,3,0,0,-5,0,1,5,24.619999999999997,29.249999999999996,20.56,0,0,1
0,0.0,0.0,3,1,1,5,0,2,3,-7,1,2,0,0,-2,10.600000000000001,53.0,108.0,1,0,0
0,0.0,0.0,2,0,3,-5,2,2,1,1,0,0,1,0,0,12.679999999999998,35.6,63.0,1,0,0
0,0.0,0.0,2,3,0,3,1,1,3,-7,0,0,1,0,0,14.969999999999999,30.75,41.68,1,0,0
0,0.0,0.0,2,0,3,0,1,1,3,-6,1,1,0,0,-1,13.499999999999998,32.800000000000004,53.5,0,1,0
0,0.0,0.0,2,0,3,-1,1,1,3,-3,0,-1,0,1,1,19.25,28.65,27.93,0,0,1
0,0.0,0.0,2,1,2,0,2,0,3,-3,0,-2,0,1,2,24.92,29.05,20.529999999999998,1,0,0
0,0.0,0.0,3,1,1,5,4,0,1,5,0,0,1,0,0,26.05,28.95,20.0,0,0,1
0,0.0,0.0,2,1,2,0,3,1,1,4,0,-3,0,1,3,29.75,29.5,18.01,0,0,1
0,0.0,0.0,2,0,3,-5,1,1,3,0,0,-2,0,1,2,12.919999999999998,34.65,58.5,1,0,0
0,0.0,0.0,1,0,4,-8,1,0,4,-3,0,-1,0,1,1,23.25,28.75,21.999999999999996,1,0,0
0,0.0,0.0,1,2,2,-5,2,2,1,1,0,-3,0,1,3,25.05,28.95,20.400000000000002,1,0,0
0,0.0,0.0,2,2,1,-1,2,1,2,2,0,-2,0,1,2,20.45,28.95,25.150000000000002,0,1,0
0,0.0,0.0,4,0,1,4,3,2,0,4,0,-1,0,1,1,13.98,32.1,47.8,0,0,1
0,0.0,0.0,0,1,4,-8,3,0,2,4,0,0,1,0,0,25.180000000000003,28.95,20.47,0,0,1
0,0.0,0.0,3,1,1,2,3,0,2,5,0,0,0,0,0,12.16,38.5,69.5,1,0,0
0,0.0,0.0,1,0,0,3,1,0,0,5,0,0,0,0,0,14.32,31.449999999999996,45.8,0,1,0
0,0.0,0.0,1,0,0,2,1,0,0,1,0,0,0,0,0,12.13,37.08,71.5,1,0,0
0,0.0,0.0,0,0,1,-5,0,1,0,0,0,0,0,0,0,27.200000000000003,29.2,19.1,1,0,0
0,0.0,0.0,0,0,1,-1,0,1,0,0,0,0,0,0,0,14.29,31.35,46.9,1,0,0
0,0.0,0.0,0,1,0,0,0,0,1,-1,0,0,0,0,0,14.759999999999998,30.95,42.78,1,0,0
0,0.0,0.0,1,0,0,1,0,0,0,0,0,0,0,0,0,18.06,29.4,29.4,1,0,0
0,0.0,0.0,0,1,0,0,0,0,1,-3,0,0,0,0,0,24.47,29.0,20.71,1,0,0
0,0.0,0.0,0,1,0,0,0,0,1,-2,0,0,0,0,0,13.919999999999998,32.3,48.0,0,1,0
