,home_overall_rating,away_overall_rating,bet_statistics_home,bet_statistics_draw,bet_statistics_away,Home_Win,Draw,Away_Win
0,0.0,0.0,0.0,0.0,0.0,0,0,1
1,0.0,0.0,0.0,0.0,0.0,1,0,0
2,0.0,0.0,0.0,0.0,0.0,0,0,1
3,0.0,0.0,0.0,0.0,0.0,0,0,1
4,0.0,0.0,0.0,0.0,0.0,0,0,1
5,0.0,0.0,0.0,0.0,0.0,1,0,0
6,0.0,0.0,0.0,0.0,0.0,1,0,0
7,0.0,0.0,0.0,0.0,0.0,1,0,0
8,0.0,0.0,0.0,0.0,0.0,0,0,1
9,0.0,0.0,0.0,0.0,0.0,0,0,1
10,0.0,0.0,0.0,0.0,0.0,1,0,0
11,0.0,0.0,0.0,0.0,0.0,1,0,0
12,0.0,0.0,0.0,0.0,0.0,0,1,0
13,0.0,0.0,0.0,0.0,0.0,1,0,0
14,0.0,0.0,0.0,0.0,0.0,1,0,0
15,0.0,0.0,0.0,0.0,0.0,0,1,0
16,0.0,0.0,0.0,0.0,0.0,0,1,0
17,0.0,0.0,0.0,0.0,0.0,1,0,0
18,0.0,0.0,0.0,0.0,0.0,0,1,0
19,0.0,0.0,0.0,0.0,0.0,0,1,0
20,0.0,0.0,0.0,0.0,0.0,0,0,1
21,0.0,0.0,0.0,0.0,0.0,0,1,0
22,0.6526757607555089,0.8208333333333333,0.27205882352941174,0.25464684014869887,0.039686369119420986,0,0,1
23,0.8058761804826863,0.8302083333333333,0.09436274509803921,0.20059479553903345,0.09152593486127866,0,1,0
24,0.782791185729276,0.75625,0.09024509803921568,0.21561338289962825,0.08624849215922797,1,0,0
25,0.8048268625393494,0.85625,0.10651960784313724,0.19576208178438656,0.0792521109770808,1,0,0
26,0.8027282266526757,0.7458333333333333,0.08151960784313725,0.20780669144981412,0.11522919179734623,0,0,1
27,0.80797481636936,0.8052083333333333,0.11740196078431372,0.1977695167286245,0.07110977080820266,0,1,0
28,0.7838405036726128,0.840625,0.10284313725490196,0.2007434944237918,0.08051869722557298,1,0,0
29,0.80797481636936,0.7208333333333333,0.0911764705882353,0.19895910780669146,0.09785886610373945,1,0,0
30,0.6652675760755509,0.7697916666666667,0.08754901960784313,0.20371747211895908,0.10238238841978288,0,0,1
31,0.0,0.0,0.0,0.0,0.0,1,0,0
32,0.0,0.0,0.0,0.0,0.0,0,1,0
33,0.0,0.0,0.0,0.0,0.0,0,1,0
34,0.0,0.0,0.0,0.0,0.0,0,0,1
35,0.0,0.0,0.0,0.0,0.0,1,0,0
36,0.0,0.0,0.0,0.0,0.0,1,0,0
37,0.0,0.0,0.0,0.0,0.0,1,0,0
38,0.7618048268625394,0.6791666666666667,0.07455882352941177,0.22602230483271374,0.11848612786489746,0,0,1
39,0.8593913955928647,0.7958333333333333,0.0678921568627451,0.2319702602230483,0.17053679131483715,1,0,0
40,0.7492130115424974,0.7885416666666667,0.1034313725490196,0.19427509293680295,0.08278045838359467,1,0,0
41,0.7471143756558237,0.7541666666666667,0.10848039215686273,0.21338289962825277,0.06875753920386007,1,0,0
42,0.0,0.0,0.0,0.0,0.0,0,1,0
43,0.9097586568730326,0.80625,0.05897058823529412,0.2771747211895911,0.251357056694813,1,0,0
44,0.9296956977964324,0.7083333333333334,0.051127450980392154,0.3903345724907063,0.36791314837153194,1,0,0
45,0.0,0.0,0.0,0.0,0.0,0,1,0
46,0.0,0.0,0.0,0.0,0.0,1,0,0
47,0.3200419727177335,0.234375,0.0,0.0,0.0,0,1,0
48,0.6589716684155299,0.7270833333333333,0.13181372549019607,0.2148698884758364,0.058805790108564536,1,0,0
49,0.0,0.0,0.0,0.0,0.0,1,0,0
50,0.0,0.0,0.0,0.0,0.0,1,0,0
51,0.9296956977964324,0.8666666666666667,0.06901960784313725,0.24052044609665427,0.14927623642943305,0,1,0
52,0.7880377754459601,0.8583333333333333,0.11044117647058825,0.21412639405204462,0.0718335343787696,1,0,0
53,0.8583420776495279,0.8364583333333333,0.08784313725490196,0.21747211895910779,0.09318455971049457,0,0,1
54,0.7838405036726128,0.7875,0.10602941176470587,0.19472118959107804,0.07940289505428226,0,1,0
55,0.7995802728226653,0.809375,0.1,0.19286245353159845,0.08594692400482509,1,0,0
56,0.8467995802728226,0.8395833333333333,0.10617647058823527,0.19598513011152413,0.07834740651387213,1,0,0
57,0.8604407135362014,0.796875,0.07897058823529411,0.20802973977695163,0.12071773220747889,1,0,0
58,0.7439664218258133,0.7552083333333334,0.09313725490196079,0.19717472118959106,0.09378769601930036,1,0,0
59,0.0,0.0,0.09803921568627451,0.21635687732342007,0.07714113389626055,1,0,0
60,0.0,0.0,0.11975490196078431,0.21895910780669142,0.06287696019300361,0,0,1
61,0.0,0.0,0.08637254901960785,0.21858736059479553,0.0922798552472859,0,1,0
62,0.0,0.0,0.1982843137254902,0.22899628252788104,0.045446320868516285,0,0,1
63,0.0,0.0,0.10862745098039216,0.21635687732342007,0.06905910735826296,0,0,1
64,0.0,0.0,0.08377450980392157,0.21747211895910779,0.09816043425814235,0,1,0
65,0.7313746065057712,0.8333333333333334,0.0948529411764706,0.21486988847583643,0.08407720144752713,1,0,0
66,0.7240293809024134,0.7520833333333333,0.10602941176470587,0.21524163568773233,0.07252714113389626,0,0,1
67,0.8132214060860441,0.8864583333333333,0.17549019607843136,0.22304832713754646,0.04927623642943305,0,1,0
68,0.8436516264428122,0.8270833333333333,0.06980392156862744,0.23940520446096655,0.14384800965018094,1,0,0
