,home_team_api_id,away_team_api_id,date,home_overall_rating,away_overall_rating,bet_statistics_home,bet_statistics_draw,bet_statistics_away,Home_Win,Draw,Away_Win
0,9847,9827,2008-08-16 00:00:00,807.0,806.0,21.659999999999997,26.359999999999996,25.98,1,0,0
0,9853,9874,2008-08-16 00:00:00,820.0,765.0,16.11,27.979999999999997,40.03,1,0,0
0,9941,9746,2008-08-16 00:00:00,709.0,725.0,19.0,26.52,31.1,1,0,0
0,10001,9986,2008-08-16 00:00:00,0.0,0.0,20.0,29.1,25.580000000000002,1,0,0
0,4049,9996,2008-08-16 00:00:00,0.0,0.0,24.43,29.45,20.849999999999998,0,0,1
0,9999,8571,2008-08-16 00:00:00,0.0,0.0,17.62,29.4,30.6,0,1,0
0,7947,9985,2008-08-16 00:00:00,0.0,0.0,40.45,30.8,15.07,0,0,1
0,9984,8635,2008-08-16 00:00:00,0.0,0.0,22.16,29.1,22.9,0,0,1
0,10000,9994,2008-08-16 00:00:00,0.0,0.0,17.09,29.25,32.550000000000004,0,1,0
0,8295,9911,2008-08-16 00:00:00,697.0,800.0,19.35,28.900000000000002,27.879999999999995,1,0,0
0,8398,8226,2008-08-16 00:00:00,690.0,722.0,21.63,28.95,24.05,0,0,1
0,9912,8697,2008-08-16 00:00:00,775.0,851.0,35.8,30.0,16.34,0,1,0
0,8721,8722,2008-08-16 00:00:00,804.0,794.0,14.239999999999998,32.2,47.7,1,0,0
0,10189,9904,2008-08-16 00:00:00,842.0,773.0,14.23,32.3,47.7,1,0,0
0,9824,10179,2008-08-16 00:00:00,0.0,0.0,0.0,0.0,0.0,0,0,1
0,9800,8597,2008-08-16 00:00:00,615.0,724.0,21.04,28.799999999999997,24.36,0,1,0
0,8639,8682,2008-08-16 00:00:00,781.0,627.0,16.54,27.4,38.78,0,0,1
0,10251,8596,2008-08-16 00:00:00,733.0,622.0,17.21,29.4,32.35,1,0,0
0,8549,8586,2008-08-16 00:00:00,813.0,870.0,26.48,29.5,20.2,1,0,0
0,8668,8655,2008-08-16 00:00:00,846.0,854.0,17.65,29.1,33.45,0,0,1
0,8654,8528,2008-08-16 00:00:00,845.0,806.0,16.87,29.549999999999997,35.449999999999996,1,0,0
0,8472,8650,2008-08-16 00:00:00,811.0,879.0,44.33,31.049999999999997,15.04,0,0,1
0,9825,8659,2008-08-16 00:00:00,858.0,783.0,10.880000000000003,49.7,110.0,1,0,0
0,8031,8025,2008-08-16 00:00:00,0.0,0.0,0.0,0.0,0.0,0,1,0
0,8066,8429,2008-08-16 00:00:00,637.0,628.0,15.96,30.599999999999998,35.900000000000006,0,0,1
0,7819,9873,2008-08-16 00:00:00,776.0,696.0,18.5,26.78,32.2,1,0,0
0,8559,10194,2008-08-16 00:00:00,826.0,740.0,16.14,29.7,39.06,1,0,0
0,8569,8028,2008-08-16 00:00:00,0.0,0.0,0.0,0.0,0.0,0,1,0
0,2183,10265,2008-08-16 00:00:00,0.0,0.0,0.0,0.0,0.0,0,0,1
0,1601,8030,2008-08-16 00:00:00,0.0,0.0,0.0,0.0,0.0,1,0,0
0,8548,9860,2008-08-16 00:00:00,793.0,733.0,12.510000000000002,36.4,63.25,1,0,0
0,9927,8485,2008-08-16 00:00:00,718.0,728.0,19.150000000000002,29.049999999999997,27.450000000000003,0,0,1
0,8455,8462,2008-08-17 00:00:00,927.0,852.0,11.76,41.63,84.25,1,0,0
0,8242,8673,2008-08-17 00:00:00,0.0,0.0,0.0,0.0,0.0,1,0,0
0,10260,10261,2008-08-17 00:00:00,907.0,828.0,11.510000000000002,43.4,90.75,0,1,0
0,9788,10269,2008-08-17 00:00:00,696.0,861.0,23.92,28.900000000000002,21.85,0,0,1
0,10199,10192,2008-08-17 00:00:00,0.0,0.0,0.0,0.0,0.0,0,0,1
0,10252,8456,2008-08-17 00:00:00,855.0,714.0,17.23,29.5,34.33,1,0,0
